filename,test_fold
00159.nii.gz,2
00461.nii.gz,2
00430.nii.gz,2
00384.nii.gz,2
00182.nii.gz,2
00215.nii.gz,2
00296.nii.gz,2
00374.nii.gz,2
00351.nii.gz,2
00465.nii.gz,2
00332.nii.gz,2
00487.nii.gz,2
00199.nii.gz,2
00366.nii.gz,2
00471.nii.gz,2
00120.nii.gz,2
00284.nii.gz,2
00291.nii.gz,2
00077.nii.gz,2
00227.nii.gz,2
00207.nii.gz,2
00055.nii.gz,2
00118.nii.gz,2
00428.nii.gz,2
00133.nii.gz,2
00130.nii.gz,2
00141.nii.gz,2
00163.nii.gz,2
00371.nii.gz,2
00259.nii.gz,2
00500.nii.gz,2
00514.nii.gz,2
00150.nii.gz,2
00260.nii.gz,2
00508.nii.gz,2
00202.nii.gz,2
00533.nii.gz,2
00486.nii.gz,2
00083.nii.gz,2
00493.nii.gz,3
00334.nii.gz,3
00208.nii.gz,3
00517.nii.gz,3
00102.nii.gz,3
00401.nii.gz,3
00419.nii.gz,3
00254.nii.gz,3
00145.nii.gz,3
00340.nii.gz,3
00103.nii.gz,3
00095.nii.gz,3
00427.nii.gz,3
00396.nii.gz,3
00501.nii.gz,3
00339.nii.gz,3
00060.nii.gz,3
00423.nii.gz,3
00510.nii.gz,3
00193.nii.gz,3
00352.nii.gz,3
00295.nii.gz,3
00389.nii.gz,3
00132.nii.gz,3
00252.nii.gz,3
00354.nii.gz,3
00521.nii.gz,3
00312.nii.gz,3
00251.nii.gz,3
00538.nii.gz,3
00475.nii.gz,3
00346.nii.gz,3
00416.nii.gz,3
00003.nii.gz,3
00169.nii.gz,3
00174.nii.gz,3
00431.nii.gz,3
00256.nii.gz,3
00478.nii.gz,3
00524.nii.gz,3
00139.nii.gz,3
00522.nii.gz,3
00261.nii.gz,3
00299.nii.gz,3
00473.nii.gz,3
00439.nii.gz,3
00418.nii.gz,3
00322.nii.gz,3
00476.nii.gz,3
00424.nii.gz,3
00442.nii.gz,3
00455.nii.gz,3
00188.nii.gz,3
00135.nii.gz,3
00136.nii.gz,3
00329.nii.gz,4
00410.nii.gz,4
00445.nii.gz,4
00392.nii.gz,4
00330.nii.gz,4
00543.nii.gz,4
00064.nii.gz,4
00031.nii.gz,4
00013.nii.gz,4
00368.nii.gz,4
00194.nii.gz,4
00022.nii.gz,4
00304.nii.gz,4
00097.nii.gz,4
00422.nii.gz,4
00181.nii.gz,4
00245.nii.gz,4
00238.nii.gz,4
00041.nii.gz,4
00509.nii.gz,4
00218.nii.gz,4
00228.nii.gz,4
00303.nii.gz,4
00341.nii.gz,4
00185.nii.gz,4
00528.nii.gz,4
00314.nii.gz,4
00178.nii.gz,4
00235.nii.gz,4
00115.nii.gz,4
00482.nii.gz,4
00273.nii.gz,4
00382.nii.gz,4
00010.nii.gz,4
00544.nii.gz,4
00179.nii.gz,4
00507.nii.gz,4
00436.nii.gz,4
00376.nii.gz,4
00481.nii.gz,4
00113.nii.gz,4
00059.nii.gz,4
00549.nii.gz,4
00313.nii.gz,4
00448.nii.gz,4
00233.nii.gz,4
00137.nii.gz,4
00417.nii.gz,4
00363.nii.gz,4
00123.nii.gz,4
00456.nii.gz,4
00324.nii.gz,4
00469.nii.gz,4
00526.nii.gz,4
00548.nii.gz,4
00411.nii.gz,5
00063.nii.gz,5
00168.nii.gz,5
00234.nii.gz,5
00035.nii.gz,5
00089.nii.gz,5
00379.nii.gz,5
00247.nii.gz,5
00126.nii.gz,5
00223.nii.gz,5
00269.nii.gz,5
00520.nii.gz,5
00076.nii.gz,5
00547.nii.gz,5
00183.nii.gz,5
00104.nii.gz,5
00298.nii.gz,5
00370.nii.gz,5
00460.nii.gz,5
00429.nii.gz,5
00316.nii.gz,5
00305.nii.gz,5
00144.nii.gz,5
00425.nii.gz,5
00328.nii.gz,5
00358.nii.gz,5
00246.nii.gz,5
00477.nii.gz,5
00414.nii.gz,5
00398.nii.gz,5
00034.nii.gz,5
00075.nii.gz,5
00513.nii.gz,5
00070.nii.gz,5
00527.nii.gz,5
00383.nii.gz,5
00337.nii.gz,5
00124.nii.gz,5
00402.nii.gz,5
00404.nii.gz,5
00387.nii.gz,5
00356.nii.gz,5
00240.nii.gz,5
00367.nii.gz,5
00056.nii.gz,5
00257.nii.gz,5
00357.nii.gz,5
00315.nii.gz,5
00140.nii.gz,5
00044.nii.gz,5
00518.nii.gz,5
00014.nii.gz,5
00258.nii.gz,5
00375.nii.gz,5
00310.nii.gz,5
00380.nii.gz,6
00220.nii.gz,6
00221.nii.gz,6
00111.nii.gz,6
00255.nii.gz,6
00345.nii.gz,6
00061.nii.gz,6
00321.nii.gz,6
00447.nii.gz,6
00100.nii.gz,6
00112.nii.gz,6
00214.nii.gz,6
00173.nii.gz,6
00106.nii.gz,6
00415.nii.gz,6
00030.nii.gz,6
00114.nii.gz,6
00306.nii.gz,6
00017.nii.gz,6
00131.nii.gz,6
00058.nii.gz,6
00074.nii.gz,6
00023.nii.gz,6
00170.nii.gz,6
00047.nii.gz,6
00279.nii.gz,6
00309.nii.gz,6
00198.nii.gz,6
00117.nii.gz,6
00347.nii.gz,6
00197.nii.gz,6
00230.nii.gz,6
00004.nii.gz,6
00449.nii.gz,6
00209.nii.gz,6
00018.nii.gz,6
00426.nii.gz,6
00485.nii.gz,6
00539.nii.gz,6
00162.nii.gz,6
00236.nii.gz,6
00005.nii.gz,6
00029.nii.gz,6
00403.nii.gz,6
00479.nii.gz,6
00496.nii.gz,6
00457.nii.gz,6
00289.nii.gz,6
00085.nii.gz,6
00381.nii.gz,6
00195.nii.gz,6
00491.nii.gz,6
00000.nii.gz,6
00523.nii.gz,6
00342.nii.gz,6
00078.nii.gz,7
00092.nii.gz,7
00109.nii.gz,7
00444.nii.gz,7
00293.nii.gz,7
00454.nii.gz,7
00307.nii.gz,7
00002.nii.gz,7
00190.nii.gz,7
00405.nii.gz,7
00542.nii.gz,7
00326.nii.gz,7
00525.nii.gz,7
00161.nii.gz,7
00369.nii.gz,7
00393.nii.gz,7
00054.nii.gz,7
00443.nii.gz,7
00020.nii.gz,7
00164.nii.gz,7
00090.nii.gz,7
00333.nii.gz,7
00001.nii.gz,7
00266.nii.gz,7
00409.nii.gz,7
00335.nii.gz,7
00361.nii.gz,7
00281.nii.gz,7
00286.nii.gz,7
00325.nii.gz,7
00271.nii.gz,7
00122.nii.gz,7
00249.nii.gz,7
00483.nii.gz,7
00011.nii.gz,7
00242.nii.gz,7
00264.nii.gz,7
00490.nii.gz,7
00148.nii.gz,7
00225.nii.gz,7
00277.nii.gz,7
00511.nii.gz,7
00503.nii.gz,7
00203.nii.gz,7
00213.nii.gz,7
00157.nii.gz,7
00349.nii.gz,7
00343.nii.gz,7
00338.nii.gz,7
00237.nii.gz,7
00390.nii.gz,7
00084.nii.gz,7
00331.nii.gz,7
00301.nii.gz,7
00472.nii.gz,7
00037.nii.gz,8
00385.nii.gz,8
00276.nii.gz,8
00400.nii.gz,8
00069.nii.gz,8
00212.nii.gz,8
00504.nii.gz,8
00319.nii.gz,8
00189.nii.gz,8
00243.nii.gz,8
00019.nii.gz,8
00147.nii.gz,8
00453.nii.gz,8
00474.nii.gz,8
00348.nii.gz,8
00134.nii.gz,8
00121.nii.gz,8
00433.nii.gz,8
00311.nii.gz,8
00308.nii.gz,8
00360.nii.gz,8
00458.nii.gz,8
00353.nii.gz,8
00146.nii.gz,8
00057.nii.gz,8
00158.nii.gz,8
00535.nii.gz,8
00263.nii.gz,8
00052.nii.gz,8
00317.nii.gz,8
00327.nii.gz,8
00302.nii.gz,8
00502.nii.gz,8
00143.nii.gz,8
00512.nii.gz,8
00177.nii.gz,8
00206.nii.gz,8
00451.nii.gz,8
00038.nii.gz,8
00438.nii.gz,8
00186.nii.gz,8
00492.nii.gz,8
00024.nii.gz,8
00187.nii.gz,8
00219.nii.gz,8
00545.nii.gz,8
00274.nii.gz,8
00534.nii.gz,8
00420.nii.gz,8
00397.nii.gz,8
00516.nii.gz,8
00116.nii.gz,8
00350.nii.gz,8
00290.nii.gz,8
00016.nii.gz,8
00248.nii.gz,9
00142.nii.gz,9
00373.nii.gz,9
00270.nii.gz,9
00105.nii.gz,9
00494.nii.gz,9
00039.nii.gz,9
00107.nii.gz,9
00265.nii.gz,9
00167.nii.gz,9
00149.nii.gz,9
00480.nii.gz,9
00300.nii.gz,9
00053.nii.gz,9
00505.nii.gz,9
00294.nii.gz,9
00222.nii.gz,9
00216.nii.gz,9
00093.nii.gz,9
00531.nii.gz,9
00152.nii.gz,9
00086.nii.gz,9
00191.nii.gz,9
00119.nii.gz,9
00391.nii.gz,9
00488.nii.gz,9
00082.nii.gz,9
00283.nii.gz,9
00441.nii.gz,9
00200.nii.gz,9
00268.nii.gz,9
00224.nii.gz,9
00025.nii.gz,9
00160.nii.gz,9
00094.nii.gz,9
00068.nii.gz,9
00032.nii.gz,9
00365.nii.gz,9
00412.nii.gz,9
00065.nii.gz,9
00128.nii.gz,9
00080.nii.gz,9
00232.nii.gz,9
00470.nii.gz,9
00015.nii.gz,9
00127.nii.gz,9
00045.nii.gz,9
00008.nii.gz,9
00464.nii.gz,9
00033.nii.gz,9
00421.nii.gz,9
00440.nii.gz,9
00388.nii.gz,9
00462.nii.gz,9
00125.nii.gz,9
